Account,Annual Revenue,MAU,Vertical,MGR,commited mrr delta,total net mrr (ae),Tier
원광디지털대학교,"20,000,000,000","182,405",교육 | Education,"1,200,000","582,000","582,000",Tier 2
에스엘세레스,"25,343,178,000","61,017",여행 & 숙박 | Travel & Hospitality,"800,000",,,Tier 4
팜코브,"6,100,000,000","40,751",커머스 | Commerce,"500,000",,,Tier 4
삼일PWC (국내 대기업 호텔),"100,000,000,000",-,여행 & 숙박 | Travel & Hospitality,"2,000,000","3,166,772","3,166,772",
스노우폭스브랜딩컴퍼니,"5,300,000,000","5,923",커머스 | Commerce,"500,000","315,637","315,637",Tier 5
매직캔,"28,060,886,000","26,476",커머스 | Commerce,"1,000,000",,"707,250",Tier 4
에이치투인터렉티브,"22,300,000,000","19,035",커머스 | Commerce,"700,000","579,750","579,750",Tier 4
코리아사이언스,"5,000,000,000","631,457",커머스 | Commerce,"600,000",,,Tier 2
건설산업교육원,"27,400,000,000","6,093",교육 | Education,"1,000,000","935,250","935,250",Tier 5
경북대학교,"863,000,000,000","2,087,000",교육 | Education,"1,500,000",,,Tier 1
와이씨에이엠,"49,000,000,000","1,671",B2B & 솔루션 | B2B & Solutions,"800,000","353,250","353,250",Tier 5
신세계백화점,"11,497,400,000,000","5,262,000",제조 & 유통 | Manufacturing & Distribution,"2,000,000","927,750","927,750",Tier 1
주식회사 아임반,"8,900,000,000","55,199",커머스 | Commerce,"700,000","477,000","477,000",Tier 4
한국건설기술인협회,-,"370,566",교육 | Education,"500,000",,,
로켓아이템땡스,"80,000,000,000","148,154",기타 | Others,"1,500,000",,,Tier 2
비티엑스모빌리티,"3,566,800,000","4,581",렌탈 & 모빌리티 | Rental & Mobility,"1,000,000",,,Tier 5
제주공조,"12,800,000,000","4,989",B2B & 솔루션 | B2B & Solutions,"900,000","470,887","470,887",Tier 5
티엔에스트레이딩,"22,900,000,000","4,182",B2B & 솔루션 | B2B & Solutions,"700,000",,,Tier 5
티엔피인터내셔날,"10,700,000,000","193,455",커머스 | Commerce,"800,000",,,Tier 2
피에스아이플러스,"6,300,000,000","11,707",B2B & 솔루션 | B2B & Solutions,"500,000","527,150","527,150",Tier 5
케이탑독학기숙학원,"7,071,082,000","10,834",교육 | Education,"500,000",,,Tier 5
국민평생학습센터,"126,900,000,000","88,873",교육 | Education,"600,000","500,083","500,083",Tier 3
uur 유유알,"7,000,000,000","33,018",커머스 | Commerce,"700,000","649,500","649,500",Tier 4
한국거래소,"660,000,000,000","1,871,000",기타 | Others,"1,500,000",,,Tier 1
코리아보드게임즈,"63,373,632,000","277,258",커머스 | Commerce,"700,000",,,Tier 2
은성물산,"9,800,000,000","16,067",제조 & 유통 | Manufacturing & Distribution,"500,000","271,887","271,887",Tier 4
농협손해보험,"5,601,610,000,000","378,897",전문 산업군 | Professional Services,"3,000,000",,,Tier 1
피에프씨테크놀로지스,"10,300,000,000","21,717",전문 산업군 | Professional Services,"2,000,000","2,335,500","2,335,500",Tier 4
강남유나이티드병원,"5,000,000,000","1,408",헬스케어 | Healthcare,"500,000",,,Tier 5
롯데이커머스,"124,000,000,000","50,250,000",커머스 | Commerce,"2,000,000",,,Tier 1
커피플랜트,"17,000,000,000","10,297",커머스 | Commerce,"800,000","854,887","854,887",Tier 4
제이린의원대구점,-,"20,716",헬스케어 | Healthcare,"700,000","536,250","536,250",
비에스케이코퍼레이션,"69,500,000,000","42,928",커머스 | Commerce,"1,000,000",,,Tier 3
카카오모빌리티,"675,000,000,000","1,059,000",렌탈 & 모빌리티 | Rental & Mobility,"5,000,000",,,Tier 1
한국과학창의재단,"231,299,200,000","216,938",기타 | Others,"1,000,000",,,Tier 2
