Company / Account,Lead ID,Annual Revenue,Vertical (New),MAU,연매출 구간,MAU 구간,2차 QC,티어 구분 (실시간 반영),Tier_클러스터링 기준,Tier (Vertical Quantile)
케이엠엘씨,00QTJ00000lhlNs,"14,200,000,000",기타 | Others,"12,091",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
브레드가든,00QIg0000024Jw0,"37,900,000,000",커머스 | Commerce,"12,083",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
크나우프석고보드,00QIg0000024jw0,"271,442,000,000",제조 & 유통 | Manufacturing & Distribution,"12,083",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 3
휴스틸,00QIg0000024jW0,"1,030,920,000,000",제조 & 유통 | Manufacturing & Distribution,"12,083",1조 이상,1만 - 5만 미만 ,Pass,,,Tier 3
지에스네오텍,00QIg0000024jck,"609,921,000,000",전문 산업군 | Professional Services,"12,078",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 4
진흥기업,00QIg0000024jcK,"628,936,000,000",전문 산업군 | Professional Services,"12,078",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 4
유라코퍼레이션,00QIg0000024jQ6,"2,169,960,000,000",제조 & 유통 | Manufacturing & Distribution,"12,061",1조 이상,1만 - 5만 미만 ,Pass,,,Tier 3
두산퓨얼셀,00QIg0000024jrP,"312,149,000,000",제조 & 유통 | Manufacturing & Distribution,"12,001",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
신성씨앤티,00QIg0000024jrp,"309,279,000,000",제조 & 유통 | Manufacturing & Distribution,"12,001",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
HK Tools,00QTJ000009Xand,"92,900,000,000",커머스 | Commerce,"11,984",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 3
중앙모터스,00QIg0000024jqD,"324,856,000,000",렌탈 & 모빌리티 | Rental & Mobility,"11,970",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
천하자동차,00QIg0000025UKf,"84,551,227,000",전문 산업군 | Professional Services,"11,947",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
한국금은,00QIg0000025UKF,"84,917,588,000",커머스 | Commerce,"11,947",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 3
골든베이골프앤리조트,00QTJ00000hXy4h,"20,800,000,000",여행 & 숙박 | Travel & Hospitality,"11,921",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 4
성우전자,00QIg0000024kGQ,"165,925,000,000",제조 & 유통 | Manufacturing & Distribution,"11,880",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
네오킴,00QIg0000025V6b,"16,497,377,000",커머스 | Commerce,"11,858",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
커커,00QTJ00000Geilu,"11,000,000,000",기타 | Others,"11,854",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
한무쇼핑,00QIg0000024jcE,"633,844,000,000",커머스 | Commerce,"11,839",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 3
HDC랩스,00QIg0000024jce,"610,731,000,000",전문 산업군 | Professional Services,"11,839",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 4
달콤소프트,00Q2w00000i0bX7,"16,606,562,000",B2B & 솔루션 | B2B & Solutions,"11,828",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
브이에이티코리아,00QIg0000024kP8,"138,852,000,000",제조 & 유통 | Manufacturing & Distribution,"11,824",1000억 - 3000억 미만  ,1만 - 5만 미만 ,Pass,,,Tier 5
플리츠미,00QIg0000025Vw0,"30,600,000,000",커머스 | Commerce,"11,781",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
농협네트웍스,00QTJ00000IEy8P,"436,908,060,000",여행 & 숙박 | Travel & Hospitality,"11,737",3000억 - 1조 미만,1만 - 5만 미만 ,Pass,,,Tier 4
BNK자산운용,00QTJ00000Indaa,"26,600,000,000",전문 산업군 | Professional Services,"11,698",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
용인공원,00QTJ00000IoJwP,"42,200,000,000",기타 | Others,"11,697",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
트리플하이엠,00QTJ00000m2S4b,"20,262,470,000",기타 | Others,"11,677",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
아모스,00QIg0000025Wc9,"61,709,491,000",제조 & 유통 | Manufacturing & Distribution,"11,656",100억 - 1000억 미만 ,1만 - 5만 미만 ,Pass,,,Tier 5
